CustomerID,Name,Email,Phone,Address,Age,Gender,PurchaseHistory,LoyaltyPoints
1,Jeff Carrillo,christy28@walters.com,001-779-657-3347x63462,"Unit 1208 Box 8313, DPO AA 52885",46,Female,"['Trei Hectare', 'Cuvée Genest', 'R de Roubine', 'Les Comtes de Ribeauvillé', 'Antonina Polish Hill River', 'Le Château', '60% Sémillon-19% Sauvignon-21% Muscadelle', 'Cigalus']",600
2,Robert Hill,cody45@yahoo.com,(731)781-4445x4040,"069 Anthony Flats, Kendrastad, NM 41905",61,Male,"['Deluge Red Wine', 'Pam de Nas', 'McDougall Ranch Vineyard', 'Blue Melosa', 'Madder Lake Vineyard', 'Sylvia', 'Forma de Arte Reserva']",140
3,Thomas Soto,bellgary@gmail.com,001-512-555-4778x078,"865 Alicia Oval, South Joan, CA 36994",58,Female,"['Matthias Peck', 'CaMerlot', 'Old Vines Konnowac Vineyard']",276
4,Craig Green,gbautista@yahoo.com,907.022.2559,"29411 Gutierrez Prairie, New Jonmouth, MI 11232",55,Female,"['Firebrick Vineyard', 'Spiegel Reserve', 'Il Bosco', 'Grenache Mourvedre']",136
5,Darrell Clark,emilyanderson@gmail.com,(499)610-7295,"122 Hurley Extensions Suite 438, Lake Angelaville, IA 22132",40,Male,"['Luckystone White', 'Cat Amongst the Pigeons Nine Lives']",128
6,Misty Meza,griffinvalerie@yahoo.com,+1-123-184-3520x21973,"57057 Mark Parks, Kington, RI 43226",43,Female,['Elevenses'],52
7,Theodore Long,esaunders@yahoo.com,+1-648-423-7582x717,"6182 Sanders Row Apt. 598, New Amandaville, KY 10367",47,Female,"['Domaine du Château de Riquewihr Les Maquisards', 'Graacher Dompropst GG']",124
8,Deborah Green,thomaslawson@yahoo.com,5349799031,"4139 Rice Pines, Simmonsport, OR 54850",55,Male,"['Les Vieux Murs Vieilles Vignes', 'Yount Mill Vineyard', 'Long Haul Red']",90
9,Laura Lynch,bill27@watts.com,268.114.4150x52579,"2282 Ryan Shoal, Lake Elizabeth, NV 89632",64,Female,"['Añares Reserva', 'White Label']",36
10,Vanessa Smith,devin56@reyes.com,788-817-7731,"561 Lawrence Freeway Suite 035, East Samuelfort, IA 86217",32,Male,"['Selva', 'Wogenrain', 'Chestnut Hill', 'SkinFlint', 'Superiore Riserva', ""Verna's"", 'Collection Les Genevraux', 'Hawk Creek Vineyard', 'Vigna Manapetra Riserva']",459
11,Stephanie Lopez,mmccann@gmail.com,001-559-037-7903,"6433 Jason Summit Suite 323, Port Phyllisbury, AZ 37656",53,Male,"['Gedersdorfer Vordernberg Reserve', 'Reserve Deaver Vineyard Old Vine', 'Le Mont Aimé Premier Cru Blanc de Blancs Brut', 'acciaio', 'Piaggione', 'Bussia Riserva', 'Aurico 375 ml']",686
12,Taylor Smith,hroberts@gmail.com,0716664888,"7289 Peterson Port Apt. 723, North Angelchester, OH 27956",64,Female,"['Cultus Boni', 'Sauvignon-Semillon', 'Stoller Vineyards', 'Yountville Selection', 'Dunah Vineyard', 'Claret Red Wine', 'Kremser Gebling', ""Redwood's Edge"", 'Clisson']",108
13,Kelly Cook,jeremybenton@gmail.com,(692)276-2521x622,"101 Gray Parks, Webbport, NV 97742",62,Male,"['Jèma', 'Comptche Ridge Vineyard']",46
14,Matthew Stewart,elee@gmail.com,183.445.4652x13855,"8381 Garner Cliffs, Brownborough, MI 03730",57,Female,"['Yarrabank Cuvée', 'Stagecoach Vineyard Block I-4', 'La Garenne Premier Cru', 'Lot 399']",300
15,Karen Shelton,hughespedro@henderson.com,434.004.1507,"437 Stevens Burg Suite 724, Lopezberg, ID 62117",40,Male,"['Les Beaux Jours', 'Brut Rosado', 'Floodgate Vyd', 'Meritage White Wine']",124
16,Nathan Garrison,olopez@chavez.info,+1-507-408-1203x441,"201 Kim Harbor Apt. 911, Arielstad, RI 10698",41,Female,['Twin Creeks Vineyard'],79
17,Cynthia Acosta,zhopkins@davis.com,(154)880-6131,"Unit 1282 Box 6006, DPO AE 68675",55,Female,"['Quadrifolia', 'Vine Age Series 100 Year Old Vines', 'Hendry Vineyard', 'Estate Vineyard Yavapai County', 'Sang du Dragon', 'Crossfire Beckstoffer Missouri Hopper Vineyard', '14 Months Barrel Aged Kosher', 'Tagus Creek Chardonnay and Fernão Pires', 'Ben Ryé']",540
18,Paul Contreras,joevillanueva@gmail.com,0860931837,"7889 Bennett Squares Apt. 813, Shaneton, WA 53067",45,Male,"['Ten Degrees', 'Crasto Branco', 'Fermentado en Barrica de Roble', 'S.T.', 'Whiplash', 'Cuvée Stéphi Ebullience']",444
19,Dr. Samuel Wade,joshuabarajas@yahoo.com,795.813.2072,"69949 James Village, South Zachary, CA 35703",64,Male,"['Contento Vineyard Select', ""Bonita's Hill Don Miguel Vineyard Unfiltered"", 'Estate Midnight Red Wine', 'Late Harvest Wine', 'Brut Méthode Traditionelle Sparkling Wine']",195
