fake_name,point,Work_accident,mission,satisfaction_level,promotion_last_5years,last_evaluation,impact,Department,level,somebody,left,research,average_montly_hours,xy,camera,number_project,time_spend_company,from,significant,fake_date_of_birth,his,fake_zipcode,fake_misc,fake_surname,salary,xyz,me
Jennifer,0.771707198699696,1.0,-0.6091403794781296,0.94,0.0,0.78,0.03,Inventory Management,0.47842567457092533,0.77,0.0,-0.3708789447511339,184.0,'event',0.07,3.0,3.0,0.77,15145,1946-03-02,-0.47842567457092533,16487,'indicate',Anderson,medium,phone,0.47842567457092533
Dana,1.7331036870262841,0.0,-1.420779223870997,0.99,0.0,0.48,0.03,,1.130446965307341,1.73,0.0,-0.8175511972202316,104.0,'if',0.07,3.0,3.0,1.73,23826,1966-02-20,-1.130446965307341,17022,'southern',King,medium,across,1.130446965307341
Jared,1.5865307920248584,1.0,nan,0.95,1.0,0.84,0.03,Administration,2.0684752648337668,1.59,0.0,-0.46468569090750506,261.0,'its',0.07,3.0,8.0,1.59,28069,1993-03-30,-2.0684752648337668,41059,'rise',Bennett,medium,difference,2.0684752648337668
Zachary,2.0222580651995123,0.0,0.10335558000513614,0.1,0.0,0.95,0.03,,-0.5498446163632209,2.02,1.0,-1.4669489512163103,286.0,'land',0.07,5.0,4.0,2.02,24174,1956-10-22,-0.5498446163632209,86898,'data',Richardson,high,there,0.5498446163632209
Belinda,1.4552312806352194,0.0,-0.2946718651322351,0.11,0.0,0.8,0.03,Sales,-0.004053177946995445,1.46,1.0,-0.9481309482586042,296.0,'receive',0.07,7.0,4.0,1.46,16698,1946-09-20,-0.004053177946995445,27874,'light',Nolan,low,in,-0.004053177946995445
Sheri,0.7295456767348778,1.0,-2.918747886881771,0.1,0.0,0.97,0.03,Customer Service,2.9384701605692225,0.73,1.0,nan,267.0,'positive',0.07,6.0,4.0,0.73,25446,1976-09-24,-2.9384701605692225,66872,'data',Cline,low,party,2.9384701605692225
Angela,1.4633987523033865,0.0,-0.26380435252454004,0.59,0.0,0.97,0.03,,0.598464619746296,-1.46,0.0,nan,258.0,'clearly',0.07,3.0,2.0,-1.46,23392,1954-07-20,-0.598464619746296,82494,'fight',Ramirez,low,during,0.598464619746296
Allison,1.0134339134453876,0.0,-0.27301110111461957,0.6,0.0,0.58,0.03,Sales,0.06912349680840268,1.01,0.0,-0.6405368734839827,201.0,'others',0.07,3.0,3.0,1.01,14550,1997-12-20,-0.06912349680840268,82067,'money',Bennett,medium,clearly,0.06912349680840268
Thomas,0.9984743001829142,0.0,-0.7499191226612555,0.51,0.0,0.75,0.03,Sales,0.5784562619607825,1.0,0.0,-0.4909942700092054,133.0,'factor',0.07,3.0,3.0,1.0,14230,1919-01-19,-0.5784562619607825,10801,'professional',May,medium,past,0.5784562619607825
Kristy,0.8400466102631097,0.0,-1.0974366033781258,0.85,0.0,0.85,0.03,Sales,1.3474036964866642,-0.84,0.0,0.916526160620153,182.0,'choice',0.07,3.0,3.0,-0.84,19793,1936-08-18,-1.3474036964866642,16527,'usually',Johnson,low,card,1.3474036964866642
Cristina,0.4042625490371179,0.0,nan,0.8,0.0,0.75,0.03,Sales,1.6085441196021746,-0.4,1.0,0.7046124557770712,268.0,'get',0.07,3.0,2.0,-0.4,23535,2005-10-31,-1.6085441196021746,64921,'social',Welch,medium,resource,1.6085441196021746
Karina,0.852538497233225,0.0,0.913242218805674,0.65,0.0,0.7,0.03,Sales,-1.154662630956361,0.85,0.0,-0.8717497584983246,243.0,'fact',0.07,3.0,3.0,0.85,26111,1946-03-27,-1.154662630956361,96928,'matter',Baker,medium,but,1.154662630956361
Tanner,1.1443301669328236,0.0,0.20909856607975877,0.38,0.0,0.6,0.03,Administration,-0.4709639931487788,1.14,0.0,-0.8739692685097471,145.0,'these',0.07,5.0,5.0,1.14,27263,1984-10-09,-0.4709639931487788,49817,'fight',Sawyer,medium,sea,0.4709639931487788
Becky,0.44728276342709206,1.0,-1.2756582044869986,0.92,1.0,0.6,0.03,Sales,1.4510361278117887,-0.45,0.0,0.6893740900460724,236.0,nan,0.07,5.0,3.0,-0.45,29093,1943-11-04,-1.4510361278117887,61313,'professional',Weiss,medium,message,1.4510361278117887
Kristen,0.5611699865842792,0.0,-2.7156068577665793,0.74,0.0,0.89,0.03,Inventory Management,2.7595535309060653,0.56,1.0,0.3922815191597196,232.0,'too',0.07,5.0,6.0,0.56,26605,1946-09-23,-2.7595535309060653,05416,'individual',Collins,medium,maybe,2.7595535309060653
James,1.0113940010392477,1.0,-1.6755034565250018,0.98,0.0,0.91,0.03,Administration,1.557838994573908,1.01,0.0,-0.23057006124219412,165.0,'wonder',0.07,3.0,2.0,1.01,22063,1939-10-22,-1.557838994573908,05324,nan,Rose,medium,tax,1.557838994573908
Ashley,0.18437363320253453,0.0,-2.2252853326954116,0.96,0.0,0.72,0.03,Sales,2.3212570358380193,0.18,0.0,0.5171801110531655,195.0,'simply',0.07,3.0,2.0,0.18,14616,1948-07-17,-2.3212570358380193,74063,'six',Phelps,medium,newspaper,2.3212570358380193
Joseph,1.6573341051367938,1.0,-2.164083427627371,0.73,0.0,0.5,0.03,Customer Service,1.9357052015187692,1.66,0.0,-0.5472064564818938,224.0,'kitchen',0.07,4.0,4.0,1.66,28761,1920-03-12,-1.9357052015187692,03755,'focus',Hurst,low,perform,1.9357052015187692
Lisa,1.3872488019568798,1.0,-0.34803476912292647,0.54,0.0,0.61,0.03,Customer Service,0.6712718226215126,-1.39,0.0,1.0870357519349694,151.0,'natural',0.07,4.0,4.0,-1.39,25680,1962-10-11,-0.6712718226215126,15759,'trade',Carter,medium,just,0.6712718226215126
Robyn,0.7508088726614135,0.0,-0.35735816546487803,0.74,0.0,0.83,0.03,Manager,0.2157927355177871,0.75,0.0,-0.42936940697347814,170.0,'recognize',0.07,3.0,3.0,0.75,24378,2018-08-26,-0.2157927355177871,51097,'southern',Collins,low,issue,0.2157927355177871
Mark,1.1351241706884183,0.0,0.20765162538695647,0.1,0.0,0.83,0.03,Marketing,-0.46742476434416735,1.14,1.0,-0.8670068108260833,278.0,'nearly',0.07,6.0,4.0,1.14,26651,2009-06-17,-0.46742476434416735,86032,'money',Edwards,medium,computer,0.46742476434416735
Robin,0.8464585307279325,0.0,-0.11984408281096898,0.68,0.0,0.71,0.03,,nan,0.85,0.0,-0.5665128803725679,237.0,'catch',0.07,3.0,3.0,0.85,21452,1934-02-25,-0.05706740828600254,24719,'money',Wilson,low,fly,0.05706740828600254
Lindsay,1.7607772805446493,0.0,0.12447383554122925,0.8,0.0,0.75,0.03,Marketing,0.2511664301144664,-1.76,0.0,nan,181.0,'left',0.07,3.0,3.0,-1.76,17119,1953-02-04,-0.2511664301144664,64146,'four',Trevino,medium,range,0.2511664301144664
Jay,1.9915328423009484,0.0,0.45112155873341325,0.46,0.0,0.53,0.03,Inventory Management,nan,-1.99,1.0,1.2836103521406068,129.0,'rather',0.07,2.0,3.0,-1.99,19639,2015-06-20,-0.04523310785442014,93366,'money',Edwards,low,finally,0.04523310785442014
Maria,0.9759527782492392,0.0,-0.9258475683307499,0.57,0.0,0.42,0.03,,0.770046896987113,0.98,0.0,-0.4237480343467424,154.0,'seem',0.07,4.0,5.0,0.98,21015,2015-03-29,-0.770046896987113,06778,'rise',Hampton,high,become,0.770046896987113
Andrea,1.2722320421443387,0.0,-0.4980988469724592,0.9,0.0,0.49,0.03,Inventory Management,nan,1.27,0.0,-0.7588532131084907,237.0,'enter',0.07,3.0,2.0,1.27,27996,2020-04-05,-0.2516476681315436,78402,'light',Ross,medium,across,0.2516476681315436
Jennifer,0.4296851531085424,0.0,-1.473548319144975,0.55,0.0,0.69,0.03,Sales,1.6571992615266897,-0.43,0.0,0.7345120888529492,225.0,'their',0.07,3.0,2.0,-0.43,14885,2018-10-31,-1.6571992615266897,71696,'mention',Valdez,medium,understand,1.6571992615266897
Matthew,1.22240158036628,0.0,nan,0.85,0.0,0.57,0.03,Sales,0.7589330928356637,-1.22,0.0,1.0038206529478537,210.0,'development',0.07,5.0,3.0,-1.22,28707,1985-09-27,-0.7589330928356637,78988,'usually',Ellis,low,little,0.7589330928356637
Michelle,0.8044516109030209,1.0,-1.3625175021282188,0.87,0.0,0.65,0.03,Customer Service,nan,0.8,0.0,-0.1747009290365358,212.0,'of',0.07,3.0,3.0,0.8,15065,1982-05-23,-1.2707535961616387,75542,'serious',Oneill,low,story,1.2707535961616387
Lisa,1.3998241354312473,0.0,-0.356690002048937,0.95,0.0,0.67,0.03,Sales,0.07381810682057499,1.4,0.0,-0.89069875224567,227.0,'because',0.07,4.0,3.0,1.4,14030,1919-08-28,-0.07381810682057499,91540,'become',Carroll,low,deal,0.07381810682057499
Katie,1.5856810291993502,1.0,-0.03266839890756762,0.84,0.0,0.94,0.03,Customer Service,nan,-1.59,0.0,nan,270.0,'policy',0.07,4.0,3.0,-1.59,15147,1946-10-23,-0.3798080832350684,95129,'easy',Elliott,low,per,0.3798080832350684
Sheryl,0.8550340178252456,1.0,-0.9282038314810999,1.0,0.0,0.97,0.03,Sales,1.1710825032772172,-0.86,0.0,0.877880874631927,216.0,'common',0.07,3.0,3.0,-0.86,14784,1970-11-30,-1.1710825032772172,69548,'indicate',Pham,low,tell,1.1710825032772172
Phillip,0.9180481349472972,0.0,-3.2897894592172787,0.81,0.0,0.77,0.03,,3.2911756324684838,0.92,0.0,0.3059621213067019,167.0,nan,0.07,5.0,4.0,0.92,23128,1943-08-01,-3.2911756324684838,08601,'rise',Russell,low,yeah,3.2911756324684838
Charles,0.6573783968012847,0.0,-1.2214831806356627,0.1,0.0,0.77,0.03,,1.4392773741108495,-0.66,1.0,0.822869993809498,250.0,nan,0.07,7.0,5.0,-0.66,10237,1948-03-27,-1.4392773741108495,37656,'old',Chan,medium,free,1.4392773741108495
Nicole,1.6926826144549798,0.0,-1.6286855704575982,0.1,0.0,0.81,0.03,Administration,1.359867373258794,1.69,1.0,-0.728272561691681,244.0,'and',0.07,7.0,5.0,1.69,14204,1959-05-25,-1.359867373258794,88864,'give',Bell,medium,not,1.359867373258794
Kim,0.8627045452631723,1.0,nan,0.83,0.0,0.52,0.03,Sales,1.146967512688915,0.86,0.0,-0.24658828256798979,149.0,'resource',0.07,2.0,2.0,0.86,13107,1957-06-29,-1.146967512688915,97305,'old',Simmons,low,hair,1.146967512688915
